Time,AIR LOOP HVAC 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:Des Heat Cap [W],AIR LOOP HVAC 1:Des Sens Cool Cap [W] 
00:15:00,1.852093E+00,2.473799E-01,4.354953E+04,3.210683E+03 
00:30:00,1.852100E+00,2.437600E-01,4.354970E+04,3.125489E+03 
00:45:00,1.852106E+00,2.427466E-01,4.354984E+04,3.074443E+03 
01:00:00,1.852111E+00,2.427466E-01,4.354997E+04,3.036391E+03 
01:15:00,1.852116E+00,2.427466E-01,4.355008E+04,3.011022E+03 
01:30:00,1.852120E+00,2.427466E-01,4.355018E+04,2.985654E+03 
01:45:00,1.852124E+00,2.427466E-01,4.355027E+04,2.960286E+03 
02:00:00,1.852128E+00,2.427466E-01,4.355035E+04,2.934917E+03 
02:15:00,1.852131E+00,2.427466E-01,4.355043E+04,2.915891E+03 
02:30:00,1.852133E+00,2.427466E-01,4.355049E+04,2.896865E+03 
02:45:00,1.852136E+00,2.427466E-01,4.355055E+04,2.877839E+03 
03:00:00,1.852138E+00,2.427466E-01,4.355060E+04,2.858812E+03 
03:15:00,1.852140E+00,2.427466E-01,4.355065E+04,2.839786E+03 
03:30:00,1.852142E+00,2.427466E-01,4.355069E+04,2.820760E+03 
03:45:00,1.852144E+00,2.427466E-01,4.355073E+04,2.801734E+03 
04:00:00,1.852145E+00,2.427466E-01,4.355077E+04,2.782708E+03 
04:15:00,1.852147E+00,2.427466E-01,4.355080E+04,2.770023E+03 
04:30:00,1.852148E+00,2.427466E-01,4.355083E+04,2.757339E+03 
04:45:00,1.852149E+00,2.427466E-01,4.355086E+04,2.744655E+03 
05:00:00,1.852150E+00,2.427466E-01,4.355088E+04,2.731971E+03 
05:15:00,1.852151E+00,2.427466E-01,4.355091E+04,2.744655E+03 
05:30:00,1.852152E+00,2.427466E-01,4.355093E+04,2.757339E+03 
05:45:00,1.852153E+00,2.427466E-01,4.355095E+04,2.770023E+03 
06:00:00,1.852154E+00,2.427466E-01,4.355097E+04,2.782708E+03 
06:15:00,1.707084E+00,2.427466E-01,4.013984E+04,2.827102E+03 
06:30:00,1.561876E+00,2.557904E-01,3.672547E+04,3.025795E+03 
06:45:00,1.416682E+00,2.770449E-01,3.331143E+04,3.327886E+03 
07:00:00,1.271429E+00,3.081018E-01,2.989600E+04,3.757290E+03 
07:15:00,1.271211E+00,3.281493E-01,2.989087E+04,4.147515E+03 
07:30:00,1.271104E+00,3.469074E-01,2.988834E+04,4.538679E+03 
07:45:00,1.270958E+00,3.646623E-01,2.988491E+04,4.932936E+03 
08:00:00,1.270850E+00,3.875455E-01,2.988237E+04,5.414612E+03 
08:15:00,1.270759E+00,4.145740E-01,2.988024E+04,5.998038E+03 
08:30:00,1.270681E+00,4.417904E-01,2.987839E+04,6.611108E+03 
08:45:00,1.270613E+00,4.695463E-01,2.987681E+04,7.259540E+03 
09:00:00,1.270556E+00,4.978024E-01,2.987547E+04,7.943510E+03 
09:15:00,1.270508E+00,5.251860E-01,2.987433E+04,8.613734E+03 
09:30:00,1.270467E+00,5.508036E-01,2.987337E+04,9.278533E+03 
09:45:00,1.270432E+00,5.739915E-01,2.987256E+04,9.924081E+03 
10:00:00,1.270403E+00,5.944922E-01,2.987186E+04,1.054257E+04 
10:15:00,1.270377E+00,6.124652E-01,2.987126E+04,1.110132E+04 
10:30:00,1.270355E+00,6.284136E-01,2.987074E+04,1.163667E+04 
10:45:00,1.270336E+00,6.431402E-01,2.987030E+04,1.216141E+04 
11:00:00,1.270320E+00,6.565822E-01,2.986991E+04,1.267291E+04 
11:15:00,1.270306E+00,6.680554E-01,2.986958E+04,1.306889E+04 
11:30:00,1.270294E+00,6.767542E-01,2.986929E+04,1.341587E+04 
11:45:00,1.270283E+00,6.818072E-01,2.986904E+04,1.369417E+04 
12:00:00,1.270273E+00,6.842743E-01,2.986882E+04,1.392250E+04 
12:15:00,1.270265E+00,6.845504E-01,2.986862E+04,1.407120E+04 
12:30:00,1.270258E+00,6.857223E-01,2.986845E+04,1.423861E+04 
12:45:00,1.270252E+00,6.900607E-01,2.986830E+04,1.447292E+04 
13:00:00,1.270246E+00,6.973798E-01,2.986817E+04,1.477219E+04 
13:15:00,1.270241E+00,7.088664E-01,2.986806E+04,1.510811E+04 
13:30:00,1.270237E+00,7.230312E-01,2.986795E+04,1.550445E+04 
13:45:00,1.270233E+00,7.386567E-01,2.986786E+04,1.593601E+04 
14:00:00,1.270229E+00,7.551829E-01,2.986778E+04,1.639120E+04 
14:15:00,1.270226E+00,7.714486E-01,2.986771E+04,1.674425E+04 
14:30:00,1.270223E+00,7.864880E-01,2.986764E+04,1.707068E+04 
14:45:00,1.270221E+00,7.996389E-01,2.986758E+04,1.735612E+04 
15:00:00,1.270219E+00,8.107071E-01,2.986753E+04,1.759635E+04 
15:15:00,1.270216E+00,8.194038E-01,2.986748E+04,1.765667E+04 
15:30:00,1.270215E+00,8.258420E-01,2.986743E+04,1.766594E+04 
15:45:00,1.270213E+00,8.294224E-01,2.986739E+04,1.761251E+04 
16:00:00,1.270211E+00,8.300430E-01,2.986736E+04,1.749557E+04 
16:15:00,1.270210E+00,8.280734E-01,2.986732E+04,1.728098E+04 
16:30:00,1.270209E+00,8.232074E-01,2.986729E+04,1.700738E+04 
16:45:00,1.270207E+00,8.167256E-01,2.986727E+04,1.670276E+04 
17:00:00,1.270206E+00,8.092755E-01,2.986724E+04,1.638125E+04 
17:15:00,1.270205E+00,8.009888E-01,2.986722E+04,1.600424E+04 
17:30:00,1.270204E+00,7.918577E-01,2.986719E+04,1.561491E+04 
17:45:00,1.270204E+00,7.808948E-01,2.986717E+04,1.519472E+04 
18:00:00,1.270203E+00,7.671842E-01,2.986716E+04,1.472750E+04 
18:15:00,1.415316E+00,7.491169E-01,3.327931E+04,1.408709E+04 
18:30:00,1.560481E+00,7.267776E-01,3.669266E+04,1.338218E+04 
18:45:00,1.705696E+00,7.006301E-01,4.010721E+04,1.262615E+04 
19:00:00,1.850962E+00,6.712097E-01,4.352295E+04,1.183292E+04 
19:15:00,1.851141E+00,6.397022E-01,4.352715E+04,1.109362E+04 
19:30:00,1.851292E+00,6.081817E-01,4.353071E+04,1.037221E+04 
19:45:00,1.851418E+00,5.785572E-01,4.353366E+04,9.700709E+03 
20:00:00,1.851515E+00,5.518868E-01,4.353596E+04,9.094919E+03 
20:15:00,1.851605E+00,5.295828E-01,4.353806E+04,8.602830E+03 
20:30:00,1.851686E+00,5.102390E-01,4.353997E+04,8.168624E+03 
20:45:00,1.851755E+00,4.924267E-01,4.354159E+04,7.767671E+03 
21:00:00,1.851811E+00,4.756977E-01,4.354292E+04,7.391930E+03 
21:15:00,1.851858E+00,4.596471E-01,4.354403E+04,7.034437E+03 
21:30:00,1.851898E+00,4.443143E-01,4.354495E+04,6.695310E+03 
21:45:00,1.851931E+00,4.297020E-01,4.354574E+04,6.374080E+03 
22:00:00,1.851960E+00,4.157583E-01,4.354642E+04,6.069482E+03 
22:15:00,1.851985E+00,3.843419E-01,4.354700E+04,5.540559E+03 
22:30:00,1.852006E+00,3.521532E-01,4.354749E+04,5.012131E+03 
22:45:00,1.852024E+00,3.192362E-01,4.354792E+04,4.485247E+03 
23:00:00,1.852040E+00,2.860445E-01,4.354829E+04,3.966593E+03 
23:15:00,1.852053E+00,2.746223E-01,4.354861E+04,3.757977E+03 
23:30:00,1.852065E+00,2.671603E-01,4.354889E+04,3.607006E+03 
23:45:00,1.852076E+00,2.600084E-01,4.354913E+04,3.462894E+03 
24:00:00,1.852085E+00,2.531060E-01,4.354935E+04,3.324677E+03 
Coinc Peak   ,1.852154E+00,8.300430E-01,4.355097E+04,1.950860E+04 
NonCoinc Peak,1.852154E+00,9.846337E-01,4.355097E+04,1.950860E+04 
