Time,THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 13::Des Sens Cool Load [W],THERMAL ZONE 13:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 13::Des Cool Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 15:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 14:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 8:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 10:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 12:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 11:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 9:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,1.672635E+02,6.748075E-02,1.170577E-02,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,1.021709E+02,7.803457E-02,7.150334E-03,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.474481E+02,6.308868E-02,1.031901E-02,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,6.540036E+00,7.803457E-02,4.576980E-04,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,2.773166E+02,7.798693E-02,1.940773E-02,1.100968E+03,3.875960E+00,6.748034E-02,2.712553E-04 
00:30:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,1.346960E+02,6.748075E-02,9.426571E-03,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,8.108462E+01,7.803457E-02,5.674628E-03,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.373352E+02,6.308868E-02,9.611269E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,1.262062E+00,7.803457E-02,8.832421E-05,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,2.458256E+02,7.798693E-02,1.720386E-02,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
00:45:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,1.038400E+02,6.748075E-02,7.267139E-03,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,6.089361E+01,7.803457E-02,4.261580E-03,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.271721E+02,6.308868E-02,8.900014E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,2.157467E+02,7.798693E-02,1.509882E-02,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
01:00:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,7.469635E+01,6.748075E-02,5.227551E-03,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,4.158827E+01,7.803457E-02,2.910514E-03,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.169783E+02,6.308868E-02,8.186611E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,1.870256E+02,7.798693E-02,1.308881E-02,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
01:15:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,4.740936E+01,6.748075E-02,3.317898E-03,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,2.400668E+01,7.803457E-02,1.680084E-03,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.068362E+02,6.308868E-02,7.476825E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,1.597095E+02,7.798693E-02,1.117712E-02,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
01:30:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,2.539877E+01,6.748075E-02,1.777508E-03,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,1.134795E+01,7.803457E-02,7.941749E-04,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,9.670800E+01,6.308868E-02,6.768015E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,1.337520E+02,7.798693E-02,9.360502E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
01:45:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,1.047020E+01,6.748075E-02,7.327469E-04,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,3.411835E+00,7.803457E-02,2.387740E-04,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,8.662628E+01,6.308868E-02,6.062455E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,1.091236E+02,7.798693E-02,7.636912E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
02:00:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,2.209183E+00,6.748075E-02,1.546075E-04,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,7.663104E+01,6.308868E-02,5.362948E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,8.580134E+01,7.798693E-02,6.004723E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
02:15:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,6.677066E+01,6.308868E-02,4.672879E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,6.368561E+01,7.798693E-02,4.456976E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
02:30:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,5.710619E+01,6.308868E-02,3.996521E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,4.276087E+01,7.798693E-02,2.992577E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
02:45:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,4.773246E+01,6.308868E-02,3.340509E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,2.429271E+01,7.798693E-02,1.700101E-03,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
03:00:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,3.870549E+01,6.308868E-02,2.708766E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,1.123318E+01,7.798693E-02,7.861432E-04,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
03:15:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,2.997049E+01,6.308868E-02,2.097455E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,3.228248E+00,7.798693E-02,2.259258E-04,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
03:30:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,2.164801E+01,6.308868E-02,1.515015E-03,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
03:45:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,1.352625E+01,6.308868E-02,9.466212E-04,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
04:00:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,7.109929E+00,6.308868E-02,4.975815E-04,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
04:15:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,2.800103E+00,6.308868E-02,1.959625E-04,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
04:30:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,4.000631E-01,6.308868E-02,2.799803E-05,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
04:45:00,1.575839E+03,0.000000E+00,9.658607E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,6.004879E+02,0.000000E+00,3.680501E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.413593E+03,0.000000E+00,8.664173E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00,1.029316E+03,0.000000E+00,6.308868E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100974E+03,0.000000E+00,6.748075E-02,0.000000E+00,1.273164E+03,0.000000E+00,7.803457E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.412282E+03,0.000000E+00,8.656138E-02,0.000000E+00,1.272387E+03,0.000000E+00,7.798693E-02,0.000000E+00,1.100968E+03,0.000000E+00,6.748034E-02,0.000000E+00 
